CableID,Device,Area,Service,Connection,CableOrCores,PanelOrMaster,Status
C-024,LSC101,Capper lift,Capper lower limit,Field DI,3C/4C x 0.34-0.5 mm2,AL1403/terminal,Confirmed basis
C-025,EV200,Infeed gate,Bottle gate solenoid,SMC manifold,Network-based,SMC fieldbus node,Confirmed basis
C-026,EV210,Product circuit,Valve 210,SMC manifold,Network-based,SMC node,Updated design
C-027,EV217,Product circuit,Valve 217,SMC manifold,Network-based,SMC node,Updated design
C-028,EV213,Product circuit,Valve 213,SMC manifold,Network-based,SMC node,Updated design
C-029,EV212,Vacuum circuit,Vacuum valve 212,SMC manifold,Network-based,SMC node,Updated design
C-030,EV247,Discharge,Discharge valve 247,SMC manifold,Network-based,SMC node,Updated design
C-031,EV230,Cap release,Fast cap release solenoid,Direct PLC fast DO,2C x 0.75 mm2 minimum,PLC DQ/terminal,Confirmed basis
C-032,M100,Main machine,Main motor / G120C,VFD motor,3P + PE,G120C output,Motor data known
C-033,M101,Bottle conveyor,Conveyor motor / VFD,VFD motor,3P + PE,VFD output,Awaiting motor data
C-034,M102,Product pump,Product pump / VFD,VFD motor,3P + PE,VFD output,Awaiting motor data
C-035,M103,Vacuum pump,Vacuum pump,Contactor/VFD TBC,3P + PE,Contactor/VFD,Awaiting motor data
C-036,M104,Ventilation,Hood/fan motor,Contactor/VFD TBC,3P + PE,Contactor/VFD,Awaiting motor data
C-037,HMI1,Operator station,MTP1500 Unified Comfort,PROFINET + 24VDC,Ethernet + 2C power,SCALANCE + PSU,Selected
C-038,PLC1,Control cabinet,S7-1512C-1 PN,PROFINET + 24VDC,Ethernet + 2C power,SCALANCE / PSU,Selected
C-039,IOL1-4,Machine zones,IFM AL1403 masters,PROFINET + 24VDC field power,Ethernet + field power,SCALANCE + 24V PSU,Selected
C-040,SMC1,Pneumatic island,SMC fieldbus node,PROFINET + 24VDC,Ethernet + node power,SCALANCE + PSU,Existing/selected
C-041,SAFE1,Safety panel,Pilz PNOZmulti base + modules,24VDC + PROFINET,2C power + Ethernet,Safety PSU / SCALANCE,Selected
C-042,DS100-111,Guarding,Safety door sensors / locks,Safety field wiring,4-8 cores TBC,Pilz safety terminals,Hold: schedule says 12; machine says 11 doors
C-043,EST100-103,Machine perimeter,Emergency-stop pushbuttons,Safety DI,4C x 0.75 mm2 typical; final by design,Pilz safety terminals,Selected
C-044,PB100,Operator panel,Start / Stop / Reset pushbuttons,PLC DI/DQ,Multicore 0.75 mm2; count TBC,PLC DI/DQ,Selected
C-045,SEL100,Operator panel,Manual / Auto selector,Direct PLC DI,3C/4C x 0.75 mm2,PLC DI,Selected
C-046,TL100,External structure,Tower light + buzzer,PLC DO,5C/6C x 0.75 mm2,PLC relay/DQ,To order
C-047,LGT100-103,External structure,Machine LED lights 24VDC,PLC relay / DO,2C x 0.75-1.0 mm2 each,Relay/terminal,Received
C-048,PEND100,Pendant,Portable JOG pendant / joystick,PLC DI + safety TBC,Core count TBC,Marshalling terminals,To define
C-049,NET-01,Cabinet/network,SCALANCE network links,PROFINET,2 twisted pairs,SCALANCE ports,Selected
C-050,PE-BOND,Entire machine,Protective bonding,Protective earth / equipotential,1C size by electrical design,Main PE bar,Required
